CorpName,StockCode,DartCode,CurrnetAsset,TotalLiab,MarketValue,NetAsset,NetAsset/MarketValue
태림포장,011280,00153524,128436313731.0,245974217879.0,332079858600,-117537904148.0,-0.35394469463918277
LG디스플레이,034220,00105873,12163134000000.0,23158450000000.0,7979290110000,-10995316000000.0,-1.3779817312595493
레인보우로보틱스,277810,01261644,30284270236.0,2164931808.0,365462597100,28119338428.0,0.07694176818949772
민앤지,214180,01013311,239524731315.0,121743607760.0,263155122250,117781123555.0,0.4475729848918037
SBS,034120,00130772,690119472113.0,632393580670.0,843269288400,57725891443.0,0.06845487228940567
미투젠,950190,01416235,766779894.0,57201317.0,318448467400,709578577.0,0.0022282367467283343
테고사이언스,191420,00926522,27523773812.0,1435269787.0,169880072300,26088504025.0,0.15357012551141938
크라운해태홀딩스,005740,00153126,253299494674.0,626492205984.0,125905502560,-373192711310.0,-2.964069907366883
고바이오랩,348150,01399071,57189304520.0,2393968343.0,344122322850,54795336177.0,0.15923214664828594
지어소프트,051160,00389110,83381425779.0,88950677761.0,280560183750,-5569251982.0,-0.019850471679768424
TPC,048770,00108649,67319111428.0,72176528938.0,52593916320,-4857417510.0,-0.09235702244430236
에스에이티,060540,00379229,50656862498.0,48938765972.0,79445250240,1718096526.0,0.021626170486085942
글로벌텍스프리,204620,01042711,47337518521.0,23705162583.0,140117986625,23632355938.0,0.16866040190291665
테라셈,182690,00411905,,29537565822.0,30474933120,,
DB하이텍,000990,00160843,491797001015.0,367764613549.0,3099021442400,124032387466.0,0.04002308140531761
서진시스템,178320,00838005,404921721430.0,555292667569.0,794830578300,-150370946139.0,-0.18918616148439643
국제약품,002720,00104722,53691223193.0,74966480716.0,113150648300,-21275257523.0,-0.18802594454953733
한라,014790,00161116,714553044410.0,1173341958895.0,208600891510,-458788914485.0,-2.199362194303021
우리기술,032820,00231044,48513050150.0,71447987146.0,240285242400,-22934936996.0,-0.0954487956352329
유엔젤,072130,00416654,29587373126.0,11277440548.0,67824633560,18309932578.0,0.2699599189401061
무림페이퍼,009200,00136086,777448818879.0,1581872192961.0,102983042250,-804423374082.0,-7.811221697346973
대한전선,001440,00113207,825681633000.0,935220276000.0,1554498511335,-109538643000.0,-0.07046558243785545
동일금속,109860,00118284,37094593736.0,15456496322.0,130130000000,21638097414.0,0.16628062256205334
네오펙트,290660,01246034,20758340929.0,39461988145.0,58420405200,-18703647216.0,-0.3201560679349756
씨앤투스성진,352700,00875237,131533165323.0,31366655485.0,88024031270,100166509838.0,1.1379450406077727
RFHIC,218410,01078178,243943070654.0,121756055959.0,919342890000,122187014695.0,0.13290690124878216
넥스틴,348210,01080252,44174793184.0,6463618902.0,514134378000,37711174282.0,0.07334886733055614
알테오젠,196170,00989619,241227337787.0,22017908860.0,3178271600000,219209428927.0,0.06897127008497322
덕산테코피아,317330,01021666,67144349174.0,13886155845.0,481488613600,53258193329.0,0.11061153228691845
베셀,177350,00813389,19014456199.0,35283728581.0,42189360150,-16269272382.0,-0.3856250088684979
대웅제약,069620,00427483,593890786508.0,731973244364.0,1726399675000,-138082457856.0,-0.07998290306443669
